head_punch;13.61;mcgregor
distance_punch;13.61;mcgregor
head_punch;17.38;mcgregor
distance_punch;17.38;mcgregor
head_punch;22.96;mcgregor
distance_punch;22.96;mcgregor
head_punch;40.44;nurmagomedov
distance_punch;40.44;nurmagomedov
head_punch;48.11;mcgregor
distance_punch;48.11;mcgregor
head_punch;60.89;mcgregor
distance_punch;60.89;mcgregor
head_punch;67.22;mcgregor
distance_punch;67.22;mcgregor
legs_punch;87.69;nurmagomedov
distance_punch;87.69;nurmagomedov
head_punch;90.16;nurmagomedov
distance_punch;90.16;nurmagomedov
takedown_attempt;93.93;nurmagomedov
body_punch;102.64;mcgregor
clinch_punch;102.64;mcgregor
head_punch;105.71;mcgregor
distance_punch;105.71;mcgregor
head_punch;106.34;nurmagomedov
distance_punch;106.34;nurmagomedov
body_punch;115.55;nurmagomedov
distance_punch;115.55;nurmagomedov
takedown_attempt;116.11;nurmagomedov
head_punch;118.72;nurmagomedov
clinch_punch;118.72;nurmagomedov
head_punch;134.87;mcgregor
clinch_punch;134.87;mcgregor
body_punch;136.27;mcgregor
clinch_punch;136.27;mcgregor
body_punch;140.74;mcgregor
clinch_punch;140.74;mcgregor
head_punch;142.31;mcgregor
distance_punch;142.31;mcgregor
head_punch;145.68;mcgregor
distance_punch;145.68;mcgregor
head_punch;154.69;nurmagomedov
distance_punch;154.69;nurmagomedov
head_punch;157.90;nurmagomedov
distance_punch;157.90;nurmagomedov
head_punch;163.33;mcgregor
distance_punch;163.33;mcgregor
head_punch;164.83;mcgregor
distance_punch;164.83;mcgregor
head_punch;172.11;nurmagomedov
distance_punch;172.11;nurmagomedov
head_punch;174.84;mcgregor
distance_punch;174.84;mcgregor
head_punch;175.04;nurmagomedov
distance_punch;175.04;nurmagomedov
body_punch;178.18;nurmagomedov
distance_punch;178.18;nurmagomedov
body_punch;182.55;mcgregor
distance_punch;182.55;mcgregor
body_punch;196.13;mcgregor
distance_punch;196.13;mcgregor
head_punch;199.17;nurmagomedov
distance_punch;199.17;nurmagomedov
body_punch;212.41;nurmagomedov
distance_punch;212.41;nurmagomedov
takedown_attempt;225.26;nurmagomedov
head_punch;236.30;mcgregor
clinch_punch;236.30;mcgregor
body_punch;245.45;nurmagomedov
clinch_punch;245.45;nurmagomedov
head_punch;260.29;nurmagomedov
clinch_punch;260.29;nurmagomedov
head_punch;267.23;mcgregor
clinch_punch;267.23;mcgregor
body_punch;284.65;mcgregor
clinch_punch;284.65;mcgregor
body_punch;287.69;mcgregor
clinch_punch;287.69;mcgregor
head_punch;290.36;nurmagomedov
clinch_punch;290.36;nurmagomedov
body_punch;291.39;mcgregor
clinch_punch;291.39;mcgregor
